Local Government Name:,Website URL:,Mailing Address:,Alternate Address:,Mailing City:,Mailing State:,Mailing Zip:,LGID:,Local Government Type:,County:
13th Ave. Station Metropolitan District,,"450 East 17th Avenue, Suite 400","c/o McGeady Sisneros, P.C.",Denver,CO,80203-1214,66578,Metropolitan Districts,"Adams, Arapahoe"
2.0 Schools Colorado,vivoco.org,"12 Broadway, #246",,Denver,CO,80203,68190,Charter Schools,"El Paso, Adams, Arapahoe"
2000 Holly Metropolitan District,2000hollymd.specialdistrict.org/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67062,Metropolitan Districts,Denver
23 Road at Broadway Sanitary Sewer Improvement District MCP-16,,PO Box 20000,c/o Mesa County,Grand Junction,CO,81502-5013,65963,Local Improvement Districts (County),Mesa
232 Metropolitan District,232metropolitan.specialdistrict.org/,McGeady Becher P.C.,"450 East 17th Avenue, Suite 400",Denver,CO,80203-1254,66625,Metropolitan Districts,Weld
25 Commerce Park Metropolitan District,25commerceparkmetrodistrict.org,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67998,Metropolitan Districts,Adams
29 & D Metropolitan District No. 1,,"450 East 17th Avenue, Suite 400","c/o McGeady Sisneros, P.C.",Denver,CO,80203-1214,66199,Metropolitan Districts,Mesa
29 & D Metropolitan District No. 2,,"450 East 17th Avenue, Suite 400","c/o McGeady Sisneros, P.C.",Denver,CO,80203-1214,66200,Metropolitan Districts,Mesa
34 9.5 Metropolitan District,3495md.com,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67416,Metropolitan Districts,Weld
3rd and Havana Metropolitan District,www.3rdandhavanamd.com,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,66833,Metropolitan Districts,Arapahoe
4-Way Commercial Metropolitan District,4waycommercialmd.specialdistrict.org,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,67981,Metropolitan Districts,El Paso
4-Way Ranch Metropolitan District No. 1,crsofcolorado.com/your-district.php,"7995 E. Prentice Ave., Suite 100",c/o Community Resource Services,Greenwood Village,CO,80111,65451,Metropolitan Districts,El Paso
40 North Metropolitan District,40northmetropolitandistrict.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,66992,Metropolitan Districts,Boulder
4201 Arkansas Metropolitan District No. 1,4201arkansasmetrodistrict.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67130,Metropolitan Districts,Denver
4201 Arkansas Metropolitan District No. 2,4201arkansasmetrodistrict.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67131,Metropolitan Districts,Denver
5280 High School,5280highschool.org,1200 West Mississippi Avenue,,Denver,CO,80223,67908,Charter Schools,Denver
64th Ave. ARI Authority,64thaveariauthority.colorado.gov,"141 Union Boulevard, Ste 150",,Lakewood,CO,80228,67281,Intergovernmental Authorities (separate legal entity),Adams
800 Hoyt Metropolitan District,www.800hoytmd.com,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,66834,Metropolitan Districts,Broomfield
911 Emergency Telephone Service Board,,PO Box  770,,Rangely,CO,81648,65833,Emergency Telephone Service (911 Authorities),Rio Blanco
9th Avenue Metropolitan District No. 1,9thavenuemetropolitandistricts.specialdistrict.org/,"450 East 17th Avenue, Suite 400","c/o McGeady Becher Cortese Williams, P.C.",Denver,CO,80203-1254,66728,Metropolitan Districts,Denver
9th Avenue Metropolitan District No. 2,9thavenuemetropolitandistricts.specialdistrict.org/,"450 East 17th Avenue, Suite 400","c/o McGeady Becher Cortese Williams, P.C.",Denver,CO,80203-1254,66729,Metropolitan Districts,Denver
9th Avenue Metropolitan District No. 3,9thavenuemetropolitandistricts.specialdistrict.org/,"450 East 17th Avenue, Suite 400","c/o McGeady Becher Cortese Williams, P.C.",Denver,CO,80203-1254,66730,Metropolitan Districts,Denver
ACC Metropolitan District,accmd.colorado.gov/,"141 Union Boulevard, Ste 150","c/o Special District Management Services, Inc",Lakewood,CO,80228-1898,65204,Metropolitan Districts,Adams
ATEC Metropolitan District No. 1,,"2001 16th Street, Ste. 1700",c/o CliftonLarsonAllen LLP,Denver,CO,80202,67208,Metropolitan Districts,Adams
ATEC Metropolitan District No. 2,,"2001 16th Street, Ste. 1700 ",c/o CliftonLarsonAllen LLP,Denver,CO,80202,67209,Metropolitan Districts,Adams
AUL Denver,www.auldenver.org/,2417 West 29th Avenue,,Denver,CO,80211-1024,67894,Charter Schools,Denver
Aberdeen Metropolitan District No. 1,www.aberdeenmetrodistrict1.org/,"7400 East Orchard Road, Suite 3300","c/o Seter & Vander Wall, P.C.",Greenwood Village,CO,80111,65180,Metropolitan Districts,Adams
Aberdeen Metropolitan District No. 2,aberdeenmetro2.org,12210 Brighton Rd #8,"c/o Wolfersberger, LLC",Henderson,CO,80640,65181,Metropolitan Districts,Adams
Abilene Station Metropolitan District No. 1,www.abilenestationmetrodistrict.com/,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,65793,Metropolitan Districts,Arapahoe
Abilene Station Metropolitan District No. 2,www.abilenestationmetrodistrict.com/,"405 Urban Street, Suite 310",c/o Public Alliance LLC,Lakewood,CO,80222,65794,Metropolitan Districts,Arapahoe
Academy 20 School District,www.asd20.org/,1110 Chapel Hills Drive,,Colorado Springs,CO,80920,21907,School Districts,El Paso
Academy Water & Sanitation District,academywsdco.gov,1755 Spring Valley Drive,,Colorado Springs,CO,80921-2165,21001,Water & Sanitation Districts,El Paso
Academy for Advanced and Creative Learning,,2510 North Chestnut Street,,Colorado Springs,CO,80907-5912,67845,Charter Schools,El Paso
Academy of Arts and Knowledge,aakelementary.org/board-of-directors,4800 Wheaton Drive,,Fort Collins,CO,80525-3400,67788,Charter Schools,Larimer
Academy of Charter Schools,www.theacademyk12.org/about-us/board-of-directors,11800 Lowell Boulevard,,Westminster,CO,80031-5097,67842,Charter Schools,Adams
Access 25 Metropolitan District No. 1,www.access25md.live,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67675,Metropolitan Districts,Weld
Access 25 Metropolitan District No. 2,www.access25md.live,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67676,Metropolitan Districts,Weld
Access 25 Metropolitan District No. 3,www.access25md.live,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67677,Metropolitan Districts,Weld
