Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
300000,1243330,2025,TAG,0101,ENGLEWOOD SCHOOL DIST # 1,2017,A
300000,1243443,2025,TAG,0101,ENGLEWOOD SCHOOL DIST # 1,1981,A
300000,1243768,2025,TAG,0101,ENGLEWOOD SCHOOL DIST # 1,1986,A
300000,1243839,2025,TAG,0101,ENGLEWOOD SCHOOL DIST # 1,2000,A
300000,1243887,2025,TAG,0101,ENGLEWOOD SCHOOL DIST # 1,2003,A
300000,1259679,2025,TAG,0101,ENGLEWOOD SCHOOL DIST # 1,2005,A
300000,1260246,2025,TAG,0101,ENGLEWOOD SCHOOL DIST # 1,2007,A
300000,1260630,2025,TAG,0101,ENGLEWOOD SCHOOL DIST # 1,1986,A
300000,1264933,2025,TAG,0101,ENGLEWOOD SCHOOL DIST # 1,2016,A
300000,1265150,2025,TAG,0101,ENGLEWOOD SCHOOL DIST # 1,2019,A
300000,1265214,2025,TAG,0101,ENGLEWOOD SCHOOL DIST # 1,2020,A
300000,1265448,2025,TAG,0101,ENGLEWOOD SCHOOL DIST # 1,2024,A
300001,1243913,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,1981,A
300001,1243965,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,1992,A
300001,1244038,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,1986,A
300001,1244067,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,1984,A
300001,1244107,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,2000,A
300001,1244122,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,1997,A
300001,1244262,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,1983,A
300001,1244368,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,1985,A
300001,1244480,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,1986,A
300001,1244515,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,1983,A
300001,1244636,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,1986,A
300001,1244836,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,1982,A
300001,1245086,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,1981,A
300001,1245260,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,1986,A
300001,1245335,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,1986,A
300001,1246023,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,1992,A
300001,1253669,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,2005,A
300001,1253679,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,2005,A
300001,1253689,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,2005,A
300001,1260659,2025,TAG,0201,SHERIDAN SCHOOL DIST # 2,1990,A
300002,400000,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2013,A
300002,400001,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2013,A
300002,400002,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2013,A
300002,1243514,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1999,A
300002,1243610,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1995,A
300002,1243630,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1997,A
300002,1243667,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1999,A
300002,1243706,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1997,A
300002,1243724,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1998,A
300002,1243754,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1243810,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2000,A
300002,1243825,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1243854,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1244169,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1244183,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2000,A
300002,1244198,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2000,A
300002,1244213,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2000,A
300002,1244228,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1244247,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2000,A
300002,1244308,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1244322,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1244336,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2000,A
300002,1244356,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2003,A
300002,1244398,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1244415,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2003,A
300002,1244427,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1244447,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1244550,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1244568,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2000,A
300002,1244606,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2003,A
300002,1244621,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2000,A
300002,1244665,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1999,A
300002,1244681,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2003,A
300002,1244693,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1244741,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1244755,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1244769,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1244783,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2003,A
300002,1244818,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1997,A
300002,1244869,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1997,A
300002,1244896,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2000,A
300002,1244911,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2000,A
300002,1244929,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2004,A
300002,1244940,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1996,A
300002,1244959,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1244976,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2003,A
300002,1244988,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2004,A
300002,1244999,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1245013,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2003,A
300002,1245045,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2003,A
300002,1245064,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2004,A
300002,1245075,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2004,A
300002,1245120,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2004,A
300002,1245131,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1245159,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2003,A
300002,1245181,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1245195,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1245215,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1245229,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1245243,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1245309,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2000,A
300002,1245324,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2004,A
300002,1245364,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1245378,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2001,A
300002,1245392,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2004,A
300002,1245403,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2003,A
300002,1245415,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2004,A
300002,1245452,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1997,A
300002,1245470,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1998,A
300002,1245487,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1993,A
300002,1245524,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2000,A
300002,1245612,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2000,A
300002,1245627,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1993,A
300002,1245657,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1996,A
300002,1245745,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1995,A
300002,1245780,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1992,A
300002,1245803,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1992,A
300002,1245838,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1992,A
300002,1245861,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1992,A
300002,1245925,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1997,A
300002,1245943,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1992,A
300002,1245966,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1992,A
300002,1245989,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2000,A
300002,1246076,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2000,A
300002,1246097,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1992,A
300002,1246120,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1992,A
300002,1246143,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1992,A
300002,1246177,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1992,A
300002,1246200,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1992,A
300002,1246273,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1992,A
300002,1246435,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2000,A
300002,1246459,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1993,A
300002,1246487,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1995,A
300002,1246507,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1979,A
300002,1246543,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1999,A
300002,1246559,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1988,A
300002,1246647,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1986,A
300002,1246758,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1987,A
300002,1246786,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1996,A
300002,1246828,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1986,A
300002,1246879,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1992,A
300002,1246917,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1992,A
300002,1246964,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2000,A
300002,1246979,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,2000,A
300002,1246994,2025,TAG,0501,CHERRY CRK SCHOOL DIST 5,1986,A
