DOLA Tax Entity Name:,Tax Entity ID:,Certifying County:,2026 Budget Year Total Levy (2025 Tax Year),2026 Budget Year Net Assessed Value (2025 Tax Year)
13th Ave. Station Metropolitan District,66578/1,Adams,0,108810
2000 Holly Metropolitan District,67062/1,Denver,62.642,6538400
2010 1A General,59021/13,Summit,0.765,3562515215
2010 1A Multipurpose,59021/14,Summit,1.138,3562515215
2018 1A General,59021/15,Summit,4.652,3562515215
232 Metropolitan District,66625/1,Weld,50,8529150
25 Commerce Park Metropolitan District,67998/1,Adams,38,176353
29 & D Metropolitan District No. 1,66199/1,Mesa,0,62260
29 & D Metropolitan District No. 2,66200/1,Mesa,0,62260
34 9.5 Metropolitan District,67416/1,Weld,13.962,273417
3rd and Havana Metropolitan District,66833/1,Arapahoe,70.443,599923
4-Way Commercial Metropolitan District,67981/1,El Paso,0,7770
4-Way Ranch Metropolitan District No. 1,65451/1,El Paso,55.573,2505040
40 North Metropolitan District,66992/1,Boulder,0,109732
4201 Arkansas Metropolitan District No. 1,67130/1,Denver,0,5786960
4201 Arkansas Metropolitan District No. 2,67131/1,Denver,0,5786960
800 Hoyt Metropolitan District,66834/1,Broomfield,8,3092612
9th Avenue Metropolitan District No. 1,66728/1,Denver,0,0
9th Avenue Metropolitan District No. 2,66729/1,Denver,42.571,0
9th Avenue Metropolitan District No. 3,66730/1,Denver,14.296,0
ACC Metropolitan District,65204/1,Adams,37,48005760
ATEC Metropolitan District No. 1,67208/1,Adams,37.962,209460
ATEC Metropolitan District No. 2,67209/1,Adams,37.962,1630980
Aberdeen Metropolitan District No. 1,65180/1,Adams,66,7699950
Aberdeen Metropolitan District No. 2,65181/1,Adams,79.611,1678950
Aberdeen Metropolitan District No. 2 - Bond,65181/2,Adams,10.282,10980
Abilene Station Metropolitan District No. 1,65793/1,Arapahoe,40,3897610
Abilene Station Metropolitan District No. 2,65794/1,Arapahoe,0,135
Academy 20 School District,21907/1,El Paso,45.459,3168367940
Academy Water & Sanitation District,21001/1,El Paso,2.877,13620700
Access 25 Metropolitan District No. 1,67675/1,Weld,38,11456880
Access 25 Metropolitan District No. 2,67676/1,Weld,40.813,20321850
Access 25 Metropolitan District No. 3,67677/1,Weld,40.049,64110
Access 25 Metropolitan District No. 4,67678/1,Weld,40.511,246710
Access 25 Metropolitan District No. 5,67679/1,Weld,37.171,5840
Access 25 Metropolitan District No. 6,67680/1,Weld,37.152,9870
Adams 12 Five Star Schools,01901/1,Adams,70.956,3618046330
Adams 12 Five Star Schools,01901/1,Broomfield,70.956,863881021
Adams County,01001/1,Adams,27.479,13407154911
Adams County 14,01902/1,Adams,47.396,1436818206
Adams County Fire Protection District,64101/1,Adams,17.27,1889303606
Adams County Fire Protection District,64101/1,Denver,17.27,13971320
Adams Crossing Metropolitan District No. 1,66309/1,Adams,0,10
Adams Crossing Metropolitan District No. 2,66310/1,Adams,0,10
Adams Crossing Metropolitan District No. 3,66311/1,Adams,0,10
Adams Crossing Metropolitan District No. 4,66312/1,Adams,0,10
Adams Crossing Metropolitan District No. 5,66313/1,Adams,0,10
Adams Crossing Metropolitan District No. 6,66314/1,Adams,0,10
Adams Crossing Metropolitan District No. 7,66315/1,Adams,0,2047
Adams Crossing Metropolitan District No. 8,66316/1,Adams,0,10
Adams East Metropolitan District,66251/1,Adams,45,19023880
Adams-Arapahoe 28J School District,64907/1,Adams,73.186,2688958381
Adams-Arapahoe 28J School District,64907/1,Arapahoe,73.186,3414552405
Adonea Metropolitan District No. 1,65213/1,Arapahoe,0,0
Adonea Metropolitan District No. 2,65214/1,Arapahoe,50.804,37296714
Aerotropolis Area Coordinating Metropolitan District,65316/1,Adams,0,40
Aerotropolis Regional Transportation Authority,66863/1,Adams,5,220600400
Affordable Housing,16002/12,Denver,0.398,25445395933
Affordable Housing,57010/13,San Miguel,0.5,1553350990
Agate 300 School District,20905/1,Elbert,21.871,33923210
Agate Conservation District,64208/1,Arapahoe,0,137590
Agate Conservation District,64208/1,Elbert,0,33712090
Agate Conservation District,64208/1,Lincoln,0,925528
Agate Fire Protection District,66179/1,Elbert,8,21007290
Aguilar,36001/1,Las Animas,11.511,3442324
Aguilar Reorganized 6 School District,36903/1,Las Animas,18.086,54924374
Aims Community College,64001/1,Adams,6.313,7410184
Aims Community College,64001/1,Broomfield,6.313,1854910
Aims Community College,64001/1,Larimer,2.514,1818000
Aims Community College,64001/1,Logan,6.313,909535
Aims Community College,64001/1,Morgan,6.313,23320
Aims Community College,64001/1,Weld,6.313,17018611622
Airpark North Metropolitan District No. 1,67364/1,Larimer,38.357,94
Airpark North Metropolitan District No. 2,67365/1,Larimer,37.591,5770
Airpark North Metropolitan District No. 3,67366/1,Larimer,37.591,2918272
Airpark North Metropolitan District No. 4,67367/1,Larimer,37.591,1542890
Airport,02001/11,Alamosa,0,0
Airport,06001/8,Bent,0,0
Airport,08003/9,Chaffee,0,0
Airport,22013/7,Fremont,0.321,721445106
Airport,23005/8,Garfield,0,0
Airport,25009/8,Grand,0,0
Airport,42017/5,Montezuma,0,0
Airport Commerce Center Metropolitan District,66170/1,Eagle,35,7566390
Airport Vista Metropolitan District No. 1,66001/1,Douglas,0,10
Airport Vista Metropolitan District No. 2,66002/1,Douglas,16.111,63110
Airways Business Center Metro. District,65205/1,Adams,3,28168690
Akron,61002/1,Washington,60.537,15608044
Akron R-1 School District,61900/1,Washington,35.239,57484954
Akron Rural Fire Protection District,61001/1,Washington,2.3,30427967
Alameda Corridor B.I.D.,65161/1,Jefferson,5.72,77667120
Alameda Water & Sanitation District,30001/1,Jefferson,7,214643230
Alamosa,02003/1,Alamosa,6.7,107799629
Alamosa County,02001/1,Alamosa,25.238,234186523
Alamosa County Ambulance District,02012/1,Alamosa,2.798,231412497
Alamosa County Fire Protection District,64002/1,Alamosa,5.43,120703308
Alamosa County Fire Protection District,64002/1,Saguache,5.43,843044
Alamosa County Weed Control District,02011/1,Alamosa,1.004,20100979
Alamosa Mosquito Control District,02002/1,Alamosa,5.013,160844593
Alamosa RE-11J School District,64904/1,Alamosa,32.131,192010441
Alamosa RE-11J School District,64904/1,Conejos,32.131,3545304
Alamosa-La Jara Water Conservancy District,64003/1,Alamosa,1.142,1336982
Alamosa-La Jara Water Conservancy District,64003/1,Conejos,1.154,21715537
Alamosa-La Jara Water Conservancy District,64003/1,Rio Grande,1.142,1411203
Alexander Way Metropolitan District,68268/1,Douglas,0,0
Allenspark Fire Protection District,64004/1,Boulder,7.605,53203243
Allenspark Fire Protection District,64004/1,Larimer,7.605,9231791
Allenspark Water & Sanitation District,07001/1,Boulder,4.23,3721612
Allison Valley Metropolitan District No. 1,65703/1,El Paso,48.256,18056890
Allison Valley Metropolitan District No. 2,65704/1,El Paso,50.618,29153460
Alma,47001/1,Park,14.356,10378384
Alpensee Water District,59042/1,Summit,39.55,6142810
Alpha-Rockridge Metropolitan District,04015/1,Archuleta,10,12360660
Alpine Meadows Metropolitan District No. 1,66112/1,Weld,45,286000
Alpine Metropolitan District,65154/1,Summit,0,24000
Alpine Mountain Ranch Metropolitan District,65762/1,Routt,10.866,34896850
AltaColorado Metropolitan District No. 1,66106/1,Lake,0,270
AltaColorado Metropolitan District No. 2,66107/1,Lake,0,120010
AltaColorado Metropolitan District No. 3,66108/1,Lake,0,280
AltaColorado Metropolitan District No. 4,66109/1,Lake,0,280
AltaColorado Metropolitan District No. 5,66110/1,Lake,0,280
Altamira Metropolitan District No. 1,65409/1,Weld,55,10
Altamira Metropolitan District No. 2,65410/1,Weld,0,10
Altamira Metropolitan District No. 3,65411/1,Weld,0,10
Altamira Metropolitan District No. 4,65412/1,Weld,0,10
Altamira Metropolitan District No. 5,65413/1,Weld,68.07,51028770
Amber Creek Metropolitan District,65433/1,Adams,43.452,29239580
Ambulance,06001/7,Bent,0,0
Ambulance,09002/9,Cheyenne,0.07,142933345
Ambulance,24005/10,Gilpin,0,0
Ambulance,25009/7,Grand,3.75,1532110628
Ambulance,32011/8,Kit Carson,1,261155715
Ambulance,33001/9,Lake,2.099,357183687
Ambulance,46005/6,Ouray,2.006,324186540
Amherst General Improvement District,01053/1,Adams,0,23956540
Andiamo Metropolitan District,67582/1,Pueblo,50,65180
Andrews Farm Metropolitan District No. 1,66967/1,Weld,67.081,5023020
Andrews Farm Metropolitan District No. 2,66968/1,Weld,0,0
Animal Shelter,08003/10,Chaffee,0.5,911879410
Animal Shelter Debt,51010/12,Pueblo,0,0
Animal Shelter Trust,10003/11,Clear Creek,0,0
Animas Mosquito Control District,34002/1,La Plata,1.277,986973050
Animas-La Plata Water Conservancy District,34003/1,La Plata,0.322,1232847590
Antelope Heights Metropolitan District,65098/1,Douglas,43.5,23330820
"Antelope Hills General Improvement District, Town of Bennett, CO",64265/1,Arapahoe,36.71,8347732
Antelope Water System G.I.D.,65427/1,Arapahoe,20.754,7965981
Anthem West Metropolitan District,65055/1,Broomfield,19.95,176959040
Anthology West Metropolitan District No. 2,18054/1,Douglas,44.461,3406630
Anthology West Metropolitan District No. 2 - Debt Service,18054/2,Douglas,0,0
Anthology West Metropolitan District No. 3,65336/1,Douglas,47.678,1640
Anthology West Metropolitan District No. 4,66681/1,Douglas,44.493,13138100
Anthology West Metropolitan District No. 4 - Debt Service 4596,66681/2,Douglas,0,0
Anthology West Metropolitan District No. 5,66682/1,Douglas,47.678,7994640
Anthology West Metropolitan District No. 6,66683/1,Douglas,0,240
